origin,destination,count,delay
DAL,AUS,3896,1871
JAX,BNA,911,323
MDW,MCI,2474,951
TUS,SAN,918,327
DEN,BIL,1106,428
TTN,RSW,166,45
DFW,JAN,2280,1119
DEN,SGU,586,236
SLC,PIH,654,217
DEN,SUN,115,72
LAS,BUR,3080,1220
TPA,BDL,959,391
OAK,SLC,2116,682
SFO,BOS,3907,1340
SEA,JNU,1326,561
EWR,PBI,2571,1006
MIA,DTW,1199,391
DFW,SHV,2280,962
LIH,OGG,1321,578
MSN,DFW,940,355
DEN,EUG,630,275
PHX,SBA,1027,353
ATW,ORD,1434,583
SLC,COD,340,106
SLC,PSP,747,181
BOS,IAH,1678,623
KOA,OGG,857,276
PHX,ONT,2978,1442
MDW,LAS,2748,1048
SFO,MKE,380,117
DEN,ORD,5567,2465
DEN,LAS,6269,2423
DEN,GEG,1339,545
MCO,DFW,3825,1290
AMA,IAH,899,321
DEN,SMF,2398,889
SLC,GCC,334,74
DEN,SEA,5139,2177
BUF,MCO,1525,374
CLT,MSP,2129,763
CLT,PBI,1617,629
DEN,EGE,6,6
PVD,BWI,2517,782
SAN,OAK,3552,1357
SAT,HOU,1285,489
DEN,ANC,418,216
PHX,SNA,3842,1481
MSP,SEA,2549,1040
GGG,DFW,643,268
CLL,DFW,1604,470
SAV,ORD,874,342
GJT,IAH,259,104
SLC,IDA,1323,311
DEN,IDA,905,414
DEN,RNO,1373,481
CMH,IAH,937,349
EYW,MIA,549,168
DEN,PSC,702,359
DAL,MAF,1516,626
FLL,MCI,327,65
LAX,LAS,9594,4195
TPA,BUF,561,203
IAH,DFW,3950,1401
ORD,CMH,3442,1247
CID,DFW,1027,424
DEN,PSP,989,405
MSP,BNA,1076,387
DEN,SFO,5365,2321
TPA,LGA,1947,800
SFO,PHL,2090,669
DEN,HNL,334,205
PHX,LIH,343,162
LAX,PIT,254,123
CLT,BOS,3590,1675
CLT,MCI,1243,512
HOU,DCA,1253,501
JAX,BWI,1109,317
LGA,HOU,927,265
SEA,ABQ,408,73
SFO,SAN,6917,2426
DEN,OGG,173,85
MFE,DFW,1454,407
ANC,JNU,1034,376
MSP,IAH,1747,830
MSP,AUS,195,66
LGA,TYS,73,44
MHK,DFW,985,311
ACY,MCO,794,325
MSP,GRB,1055,326
FLG,PHX,1660,665
